state (WORDNET SENSE IF EXIST),occorrences,definition,rep_event,asp_event,location,organization,targets
translate.v.01,1,restate (words) from one language into another language,0,0,0,0,translate
permit.v.01,1,"consent to, give permission",0,0,0,0,let
endowment.n.01,1,natural abilities or qualities,0,0,0,0,talent
call.v.05,1,"order, request, or command to come",0,0,0,1,call
associate.v.01,1,make a logical or causal connection,0,0,0,1,associate
spread.v.07,1,strew or distribute over an area,0,0,0,0,spread
structure.v.01,1,give a structure to,0,0,0,0,structure
responsible.a.01,1,worthy of or requiring responsibility or trust; or held accountable,0,0,0,0,responsible
play.v.15,1,"put (a card or piece) into play during a game, or act strategically as if in a card game",0,0,0,0,play
prove.v.02,1,"establish the validity of something, as by an example, explanation or experiment",0,0,1,0,establish
preach.v.01,1,deliver a sermon,0,0,1,0,preach
edit.v.01,1,"prepare for publication or presentation by correcting, revising, or adapting",0,0,0,0,edit
co-winner,1,co-winner,0,0,0,1,co-winner
illuminate.v.03,1,add embellishments and paintings to (medieval manuscripts),1,0,0,0,illuminate
upbringing.n.01,1,properties acquired during a person's formative years,0,0,1,0,upbringing
position.v.01,1,"cause to be in an appropriate place, state, or relation",0,0,0,0,position
grow.v.07,1,"cultivate by growing, often involving improvements by means of agricultural techniques",0,0,0,0,grow
stage.v.01,1,"perform (a play), especially on a stage",0,0,0,0,represent
advocacy.n.01,1,active support of an idea or cause etc.; especially the act of pleading or arguing for something,0,0,0,0,advocacy
create.v.03,1,pursue a creative activity; be engaged in a creative activity,0,0,0,1,create
compare.v.03,1,"consider or describe as similar, equal, or analogous",0,0,0,0,equate
research.v.01,1,attempt to find out in a systematically and scientific manner,0,1,0,1,research
structure.n.01,1,a thing constructed; a complex entity constructed of many parts,0,0,0,0,construction
decade.n.01,1,a period of 10 years,0,0,0,0,decade
report.v.05,1,"be responsible for reporting the details of, as in journalism",0,0,1,0,cover
correspondent.n.01,1,someone who communicates by means of letters,0,0,0,1,correspondent
degree.n.07,1,"the seriousness of something (e.g., a burn or crime)",0,1,0,1,degree
fan.v.01,1,"strike out (a batter), (of a pitcher)",0,1,0,0,fan
provost.n.01,1,a high-ranking university administrator,0,1,0,0,provost
ally.v.01,1,"become an ally or associate, as by a treaty or marriage",1,0,0,0,ally
collaboration.n.01,1,act of working jointly,0,0,0,0,collaboration
secretary.n.01,1,a person who is head of an administrative department of government,0,0,0,1,secretary
musician.n.01,1,someone who plays a musical instrument (as a profession),0,1,0,0,player
reveler.n.01,1,a celebrant who shares in a noisy party,0,0,1,0,reveler
determine.v.01,1,"establish after a calculation, investigation, experiment, survey, or study",0,0,0,0,determine
admit.v.03,1,"allow participation in or the right to be part of; permit to exercise the rights, functions, and responsibilities of",0,0,1,0,include
train.v.01,1,create by training and teaching,0,0,0,0,educate
economist.n.01,1,an expert in the science of economics,0,0,1,1,economist
