event (WORDNET SENSE IF EXIST),occorrences,definition,rep_event,asp_event,location,organization,targets
bundle.v.01,1,make into a bundle,0,0,0,0,bundle
recognition.n.01,1,the state or quality of being recognized or acknowledged,0,0,0,1,acknowledgement
complaint.n.02,1,(formerly) a loud cry (or repeated cries) of pain or rage or sorrow,0,0,0,0,complaint
attract.v.01,1,direct toward itself or oneself by means of some psychological power or physical attributes,1,0,0,1,pull
list.v.04,1,tilt to one side,0,0,0,0,list
voice.v.01,1,give voice to,0,0,0,0,voice
stay.v.02,1,stay put (in a certain place),0,0,0,0,stick
leave.v.03,1,act or be so as to become in a specified state,0,0,1,0,leave
abandon.v.01,1,"forsake, leave behind",0,0,0,0,abandon
search.v.01,1,"try to locate or discover, or try to establish the existence of",0,0,1,0,seek
threaten.v.02,1,to utter intentions of injury or punishment against:,0,0,0,0,threaten
pay.v.09,1,"bear (a cost or penalty), in recompense for some action",0,0,0,0,pay
clear.v.12,1,"clear from impurities, blemishes, pollution, etc.",0,0,0,0,clear
conduct.v.02,1,"lead, as in the performance of a composition",0,0,0,0,conduct
review.v.05,1,"look back upon (a period of time, sequence of events); remember",0,0,0,0,review
converge.v.01,1,be adjacent or come together,0,0,0,0,meet
earn.v.02,1,acquire or deserve by one's efforts or actions,0,0,0,1,earn
able.a.01,1,(usually followed by `to') having the necessary means or skill or know-how or authority to do something,0,0,0,0,able
service.v.01,1,be used by; as of a utility,0,0,0,0,service
action.v.01,1,institute legal proceedings against; file a suit against,0,0,0,0,sue
performance.n.01,1,a dramatic or musical entertainment,0,0,0,0,performance
tenure.v.01,1,give life-time employment to,0,0,0,1,tenure
sum_up.v.01,1,give a summary (of),0,0,0,0,resume
exhaust.v.05,1,eliminate (a substance),0,0,0,1,expel
serialized,1,serialized,0,0,0,0,serialized
refuse.v.02,1,refuse to accept,0,0,0,1,refuse
bury.v.05,1,embed deeply,0,0,0,1,bury
invitation.n.01,1,a request (spoken or written) to participate or be present or take part in something,0,0,0,1,invitation
brief.v.01,1,give essential information to someone,0,0,0,0,brief
arrival.n.03,1,someone who arrives (or has arrived),0,0,1,0,arrival
